Physical flow account for greenhouse gas emissions c 1 2 3 4 5 6 7 8 9 10 11,,,,,,,,,,,
Frequency: Annual,,,,,,,,,,,
Table: 38-10-0097-01 (formerly CANSIM 153-0114),,,,,,,,,,,
Release date: 2023-12-20,,,,,,,,,,,
"Geography: Canada, Province or territory",,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Geography,Sector,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
,Sugar and confectionery product manufacturing  [BS31130],114,108,96,35,92,91,196,228,186,236
,Fruit and vegetable preserving and specialty food manufacturing  [BS31140],313,224,164,180,178,232,253,195,192,198
,Dairy product manufacturing  [BS31150],152,162,124,168,121,155,186,209,209,217
,Meat product manufacturing  [BS31160],328,280,322,311,358,351,354,395,393,405
,Seafood product preparation and packaging  [BS31170],7,3,3,4,5,7,7,6,5,5
,Miscellaneous food manufacturing  [BS311A0],760,869,764,943,738,823,871,901,830,828
,Soft drink and ice manufacturing  [BS31211],63,68,50,58,66,81,63,50,51,55
,Breweries  [BS31212],72,117,180,198,200,284,168,162,160,160
,Wineries and distilleries  [BS3121A],158,153,173,143,117,129,149,82,85,87
,Tobacco manufacturing  [BS31220],5,7,6,11,17,17,12,12,12,12
,Textile and textile product mills  [BS31A00],67,85,63,85,65,70,83,72,72,75
,Clothing and leather and allied product manufacturing  [BS31B00],15,13,14,16,24,11,19,21,17,17
,Wood product manufacturing  [BS32100] 12,"1,617","1,675","2,871","1,835",941,"1,934","1,777","1,682","1,594","1,533"
,"Pulp, paper and paperboard mills  [BS32210] 12","3,790","6,068","5,425","5,658","5,073","5,212","4,873","4,551","4,500","4,562"
,Converted paper product manufacturing  [BS32220],193,277,341,169,219,269,284,282,261,338
,Printing and related support activities  [BS32300],119,112,105,150,171,163,180,150,126,131
,Petroleum and coal product manufacturing  [BS32400],"8,421","7,654","7,744","7,368","7,399","5,005","5,603","6,287","5,600","6,197"
,Basic chemical manufacturing  [BS32510],"4,824","4,680","4,316","5,025","4,825","3,625","4,112","4,236","4,321","4,326"
,"Pesticide, fertilizer and other agricultural chemical manufacturing  [BS32530]",768,"1,120","1,140",950,"1,179","1,112",387,399,387,389
,Pharmaceutical and medicine manufacturing  [BS32540],151,121,176,163,326,176,166,177,184,185
,Miscellaneous chemical product manufacturing  [BS325C0] 13,661,575,543,661,591,666,705,664,605,712
,Plastic product manufacturing  [BS32610],309,342,378,361,338,425,310,333,321,333
,Rubber product manufacturing  [BS32620],66,64,78,83,76,79,70,69,57,59
,Non-metallic mineral product manufacturing (except cement and concrete products)  [BS327A0],"1,670","1,344","1,233","1,381","1,261","1,348","1,189","1,225","1,166","1,216"
,Cement and concrete product manufacturing  [BS32730],"4,852","4,492","4,685","4,246","4,249","4,621","4,457","4,504","4,559","4,694"
,Primary metal manufacturing  [BS33100],"15,576","13,461","14,548","13,823","14,874","14,128","14,730","13,989","11,993","13,326"
,Fabricated metal product manufacturing  [BS33200],762,884,700,640,774,816,855,722,734,762
,Machinery manufacturing  [BS33300],291,316,308,277,257,331,324,342,304,315
,Computer and peripheral equipment manufacturing  [BS33410],9,5,11,7,3,4,5,6,6,6
,Electronic product manufacturing  [BS334B0],61,69,49,66,82,61,57,64,56,59
,Electrical  equipment and component manufacturing  [BS335A0],75,75,71,74,74,71,65,62,56,58
,Household appliance manufacturing  [BS33520],17,11,10,11,12,12,12,10,15,16
,Motor vehicle manufacturing  [BS33610],556,570,582,557,521,585,657,671,496,439
,Motor vehicle body and trailer manufacturing  [BS33620],33,48,33,31,17,15,22,24,20,21
,Motor vehicle parts manufacturing  [BS33630],317,306,309,339,364,379,345,318,269,278
,Aerospace product and parts manufacturing  [BS33640],67,72,61,78,77,90,90,101,85,88
,Railroad rolling stock manufacturing  [BS33650],13,7,8,19,22,14,15,15,14,15
,Ship and boat building  [BS33660],5,5,5,4,4,5,4,4,3,4
,Other transportation equipment manufacturing  [BS33690],9,11,12,12,13,20,16,20,17,17
,Furniture and related product manufacturing  [BS33700],195,157,128,154,173,178,174,167,144,149
,Miscellaneous manufacturing  [BS33900],102,100,98,130,131,134,132,144,144,150
,Wholesale trade  [BS41000],"3,721","4,094","3,975","3,583","3,445","3,633","3,753","4,115","3,973","4,147"
,Retail trade  [BS4A000],"2,133","2,479",..,..,..,..,..,..,..,..
,Retail trade (except cannabis)  [BS4AA00],..,..,"2,662","2,503","2,416","2,607","2,830","3,185","3,113","3,178"
,Cannabis stores (licensed)  [BS453BL],..,..,0,0,0,0,2,5,10,10
,Cannabis stores (unlicensed)  [BS453BU],..,..,6,5,6,6,6,6,6,7
,Air transportation  [BS48100],"5,354","5,215","5,786","6,074","6,091","7,824","8,324","8,573","3,244","3,242"
,Rail transportation  [BS48200],"1,602","1,535","1,703","1,596","1,416","1,527","1,459","1,419","1,287","1,247"
,Water transportation  [BS48300],"1,093","1,334","1,301","1,377","1,299","1,353","1,284","1,528","1,072","1,307"
,Truck transportation  [BS48400],"8,671","8,182","8,124","8,153","7,532","7,572","7,952","7,454","6,650","7,190"
,"Transit, ground passenger and scenic and sightseeing transportation, taxi and limousine service and support activities for transportation  [BS48B00]","2,023","2,138","2,121","2,061","2,099","1,910","1,775","1,808","1,652","1,616"
,Pipeline transportation  [BS48600],859,"1,091","1,532","1,559","1,327",933,"1,024",965,817,888
,Postal service and couriers and messengers  [BS49A00],967,864,818,951,"1,079",977,636,745,815,805
,Warehousing and storage  [BS49300],32,35,30,36,40,39,24,35,46,47
,Motion picture and sound recording industries  [BS51200],209,169,173,215,219,241,246,292,226,224
,Radio and television broadcasting  [BS51510],16,11,11,11,26,22,10,11,11,11
,"Publishing, pay/specialty services, telecommunications and other information services  [BS51B00]",289,288,293,245,251,287,274,284,218,231
,Depository credit intermediation and monetary authorities  [BS52B00],520,536,492,421,413,348,368,385,376,375
,Insurance carriers  [BS52410],109,85,88,85,91,79,71,66,37,38
,Lessors of real estate  [BS53110],"2,428","2,357","2,325","2,163","2,372","2,362","2,918","2,901","2,819","2,785"
,Owner-occupied dwellings  [BS5311A],0,0,0,0,0,0,0,0,0,0
,Rental and leasing services and lessors of non-financial intangible assets (except copyrighted works)  [BS53B00],625,615,584,616,676,646,681,726,656,683
,"Other finance, insurance and real estate services and management of companies and enterprises  [BS5A000]","1,602","1,610","1,714","1,655","1,635","1,567","1,477","1,600","1,673","1,688"
,"Legal, accounting and architectural, engineering and related services  [BS541C0]",276,275,288,353,330,337,347,379,380,384
,"Computer systems design and other professional, scientific and technical services  [BS541D0]",299,339,357,416,393,366,325,364,354,352
,"Advertising, public relations and related services  [BS54180]",82,88,124,120,108,108,108,110,88,89
,Administrative and support services  [BS56100],"1,005",907,953,"1,109","1,096","1,066","1,116","1,189","1,103","1,121"
,Waste management and remediation services  [BS56200],557,542,270,160,175,197,255,295,272,307
,Educational services  [BS61000],84,78,75,87,97,110,83,101,89,87
,Health care and social assistance  [BS62000],"1,234","1,274","1,452","1,254","1,236","1,220","1,175","1,156",972,972
,"Arts, entertainment and recreation  [BS71000]",102,107,110,105,100,115,105,121,73,73
,Accommodation and food services  [BS72000],463,487,532,494,476,538,536,595,456,485
,Repair and maintenance  [BS81100],752,697,822,797,755,843,886,949,827,856
,Personal services and private households  [BS81A00],230,210,229,246,223,220,201,227,197,196
,Professional and similar organisations  [BS81300],9,8,5,6,7,6,6,5,4,5
,Repair and maintenance  [FC11000],0,0,0,0,0,0,0,0,0,0
,Operating supplies  [FC12000],0,0,0,0,0,0,0,0,0,0
,Office supplies  [FC13000],0,0,0,0,0,0,0,0,0,0
,"Advertising, promotion, meals, entertainment, and travel  [FC20000]",0,0,0,0,0,0,0,0,0,0
,Transportation margins  [FC30000],0,0,0,0,0,0,0,0,0,0
,Non-profit education services  [NP61000],140,133,123,110,155,147,153,166,167,164
,Non-profit social assistance  [NP62400],104,103,173,158,168,185,179,187,228,230
,"Non-profit arts, entertainment and recreation  [NP71000]",58,61,60,47,35,40,40,55,45,45
,Religious organizations  [NP81310],429,448,382,301,358,139,161,196,187,184
,Miscellaneous non-profit institutions serving households  [NPA0000],549,452,384,417,491,546,506,551,541,540
,Educational services (except universities)  [GS611B0],850,984,"1,194","1,200","1,276","1,293","1,383","1,510","1,312","1,301"
,Universities  [GS61130],871,950,991,"1,030","1,076","1,089","1,015","1,058",937,944
,Hospitals  [GS62200],458,451,504,445,487,502,495,511,552,546
,Nursing and residential care facilities  [GS62300],45,45,50,49,46,45,38,44,51,50
,Other federal government services  [GS91100],821,522,382,374,373,452,353,408,416,412
,Other provincial and territorial government services  [GS91200],101,102,103,90,89,84,152,111,104,108
,Other municipal government services  [GS91300],"3,003","2,909","2,951","2,793","2,780","2,735","3,140","3,349","3,203","3,358"
,Other aboriginal government services  [GS91400],36,35,36,31,27,59,98,106,108,114
,"Total, households","46,966","51,606","50,538","50,362","49,226","50,469","52,531","51,797","41,511","41,059"
,Households: Motor fuels and lubricants,"27,207","29,145","27,958","27,807","28,567","29,271","30,157","31,298","22,808","23,132"
,Households: Electricity and other fuels,"19,759","22,461","22,580","22,556","20,659","21,198","22,374","20,498","18,703","17,927"
Manitoba,"Total, industries and households","20,427","20,935","21,088","20,650","21,044","21,505","22,365","22,232","20,674","20,226"
,"Total, industries","16,202","16,447","16,582","16,571","16,839","17,276","17,666","17,498","16,525","16,050"
,Crop and animal production  [BS11A00],"6,908","7,195",..,..,..,..,..,..,..,..
,Crop and animal production (except cannabis)  [BS11B00],..,..,"6,939","7,197","7,279","7,498","7,712","7,589","7,886","7,416"
,Cannabis production (licensed)  [BS111CL],..,..,0s,0s,0s,0s,0s,1,2,2
,Cannabis production (unlicensed)  [BS111CU],..,..,5,5,4,3,2,2,1,1
,Forestry and logging  [BS11300],52,56,56,63,57,64,62,54,50,46
,"Fishing, hunting and trapping  [BS11400]",12,10,7,6,9,12,11,11,8,7
,Support activities for agriculture and forestry  [BS11500],12,13,12,11,15,20,23,19,21,17
,Oil and gas extraction  [BS21100],712,731,731,701,651,641,652,678,594,587
,Coal mining  [BS21210],1,1,1,0s,0s,1,1,1,1,1
,Metal ore mining  [BS21220],88,89,97,88,85,108,107,54,75,53
,Non-metallic mineral mining and quarrying  [BS21230],16,15,15,16,19,16,16,14,19,17
,Support activities for mining and oil and gas extraction  [BS21300],69,49,39,33,16,60,92,140,133,169
,"Electric power generation, transmission and distribution  [BS22110]",114,122,128,127,70,71,43,41,42,57
,"Natural gas distribution, water, sewage and other systems  [BS221A0]",24,19,18,18,32,28,35,31,23,22
,Residential building construction  [BS23A00],104,124,117,88,96,99,109,123,119,111
,Non-residential building construction  [BS23B00],40,42,40,33,38,33,31,37,33,29
,Transportation engineering construction  [BS23C10],85,64,45,55,69,73,81,79,66,54
,Oil and gas engineering construction  [BS23C20],64,55,69,43,38,35,50,56,28,23
,Electric power engineering construction  [BS23C30],53,76,123,121,175,171,146,120,93,81
,Communication engineering construction  [BS23C40],6,2,9,14,10,11,12,10,21,18
,Other engineering construction  [BS23C50],103,48,33,30,33,32,41,41,43,37
,Repair construction  [BS23D00],32,33,41,38,40,41,42,50,54,47
,Other activities of the construction industry  [BS23E00],20,27,26,26,22,20,24,25,23,22
,Animal food manufacturing  [BS31110],22,9,47,20,33,29,35,53,30,67
,Sugar and confectionery product manufacturing  [BS31130],0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
,Fruit and vegetable preserving and specialty food manufacturing  [BS31140],95,68,58,116,96,144,39,40,36,36
,Dairy product manufacturing  [BS31150],11,18,6,14,16,9,23,24,25,22
,Meat product manufacturing  [BS31160],69,46,61,122,170,223,106,93,121,123
,Seafood product preparation and packaging  [BS31170],2,3,1,1,1,2,0s,0s,0s,0s
,Miscellaneous food manufacturing  [BS311A0],116,110,137,111,126,104,179,144,192,139
,Soft drink and ice manufacturing  [BS31211],21,8,8,10,14,12,8,5,3,3
,Breweries  [BS31212],1,0s,0s,0s,0s,1,1,1,2,2
,Wineries and distilleries  [BS3121A],12,0s,0s,0s,0s,0s,0s,0s,0s,0s
,Tobacco manufacturing  [BS31220],0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
,Textile and textile product mills  [BS31A00],3,3,2,2,2,4,4,4,3,3
,Clothing and leather and allied product manufacturing  [BS31B00],6,5,4,7,8,14,5,6,3,3
,Wood product manufacturing  [BS32100] 12,184,174,293,205,261,150,181,177,188,228
,"Pulp, paper and paperboard mills  [BS32210] 12",489,523,626,486,510,483,506,560,487,505
,Converted paper product manufacturing  [BS32220],9,14,21,16,17,17,17,16,16,16
,Printing and related support activities  [BS32300],15,11,20,20,16,29,18,21,18,18
,Petroleum and coal product manufacturing  [BS32400],4,6,3,2,4,6,36,32,31,28
,Basic chemical manufacturing  [BS32510],102,118,98,97,98,103,102,106,106,108
,"Pesticide, fertilizer and other agricultural chemical manufacturing  [BS32530]",656,797,646,748,834,694,682,674,654,638
,Pharmaceutical and medicine manufacturing  [BS32540],23,14,14,14,13,15,17,15,14,13
,Miscellaneous chemical product manufacturing  [BS325C0] 13,6,10,8,5,7,7,7,8,7,5
,Plastic product manufacturing  [BS32610],54,46,25,53,60,44,31,36,30,30
,Rubber product manufacturing  [BS32620],2,1,1,1,1,2,2,2,2,2
,Non-metallic mineral product manufacturing (except cement and concrete products)  [BS327A0],148,133,129,149,114,127,110,108,109,110
,Cement and concrete product manufacturing  [BS32730],22,22,12,13,28,37,40,51,50,36
,Primary metal manufacturing  [BS33100],103,102,103,83,79,90,85,66,91,95
,Fabricated metal product manufacturing  [BS33200],53,35,35,53,56,71,55,63,56,54
,Machinery manufacturing  [BS33300],78,64,74,84,85,111,73,81,65,63
,Computer and peripheral equipment manufacturing  [BS33410],0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
,Electronic product manufacturing  [BS334B0],1,1,1,2,3,2,1,1,1,1
,Electrical  equipment and component manufacturing  [BS335A0],5,4,5,9,3,6,5,6,5,5
,Household appliance manufacturing  [BS33520],2,0s,0s,0s,0s,0s,0s,0s,0s,0s
,Motor vehicle manufacturing  [BS33610],15,22,22,37,50,38,23,25,16,15
,Motor vehicle body and trailer manufacturing  [BS33620],21,13,7,11,15,21,6,5,3,3
,Motor vehicle parts manufacturing  [BS33630],3,2,3,3,2,3,2,2,2,2
,Aerospace product and parts manufacturing  [BS33640],17,14,21,26,28,47,23,33,20,20
,Railroad rolling stock manufacturing  [BS33650],1,0s,0s,0s,0s,0s,0s,0s,0s,0s
,Ship and boat building  [BS33660],0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
,Other transportation equipment manufacturing  [BS33690],1,1,1,2,1,1,1,1,1,1
,Furniture and related product manufacturing  [BS33700],65,56,23,76,82,53,32,26,20,19
,Miscellaneous manufacturing  [BS33900],18,13,11,16,16,23,19,19,20,19
,Wholesale trade  [BS41000],269,268,282,211,266,318,331,292,254,231
,Retail trade  [BS4A000],188,205,..,..,..,..,..,..,..,..
,Retail trade (except cannabis)  [BS4AA00],..,..,206,171,201,233,253,257,214,199
,Cannabis stores (licensed)  [BS453BL],..,..,0,0,0,0,0s,1,2,2
,Cannabis stores (unlicensed)  [BS453BU],..,..,1,1,1,2,1,1,1,1
,Air transportation  [BS48100],790,784,769,789,826,828,818,813,258,266
,Rail transportation  [BS48200],477,473,497,477,421,457,487,467,429,418
,Water transportation  [BS48300],26,17,18,10,20,16,18,15,10,8
,Truck transportation  [BS48400],"1,251","1,184","1,284","1,231",992,"1,014","1,109","1,062","1,000","1,081"
,"Transit, ground passenger and scenic and sightseeing transportation, taxi and limousine service and support activities for transportation  [BS48B00]",162,118,118,117,121,125,125,126,102,99
,Pipeline transportation  [BS48600],33,129,276,321,261,176,327,286,215,314
,Postal service and couriers and messengers  [BS49A00],75,56,41,41,46,64,91,96,121,120
,Warehousing and storage  [BS49300],11,11,7,6,9,12,12,13,13,11
,Motion picture and sound recording industries  [BS51200],4,4,4,3,4,5,7,7,3,3
,Radio and television broadcasting  [BS51510],2,1,1,1,1,2,1,1,1,1
,"Publishing, pay/specialty services, telecommunications and other information services  [BS51B00]",36,33,31,23,170,206,102,130,84,71
,Depository credit intermediation and monetary authorities  [BS52B00],18,18,17,15,16,14,15,15,13,13
,Insurance carriers  [BS52410],11,8,8,9,9,9,9,10,5,5
,Lessors of real estate  [BS53110],593,802,836,801,765,792,899,898,823,790
,Owner-occupied dwellings  [BS5311A],0,0,0,0,0,0,0,0,0,0
,Rental and leasing services and lessors of non-financial intangible assets (except copyrighted works)  [BS53B00],51,37,36,35,45,48,52,51,39,38
,"Other finance, insurance and real estate services and management of companies and enterprises  [BS5A000]",151,147,148,133,135,137,146,147,127,126
,"Legal, accounting and architectural, engineering and related services  [BS541C0]",15,16,16,18,19,18,21,20,17,17
,"Computer systems design and other professional, scientific and technical services  [BS541D0]",15,21,18,18,19,18,18,19,17,16
,"Advertising, public relations and related services  [BS54180]",2,3,3,3,3,3,3,3,2,2
,Administrative and support services  [BS56100],84,71,74,88,99,114,118,117,103,104
,Waste management and remediation services  [BS56200],46,29,27,15,32,41,48,49,42,35
,Educational services  [BS61000],6,6,5,4,4,4,5,5,5,4
,Health care and social assistance  [BS62000],100,110,113,102,100,101,110,100,86,82
,"Arts, entertainment and recreation  [BS71000]",11,10,10,10,10,10,11,10,6,6
,Accommodation and food services  [BS72000],61,50,53,44,56,69,71,76,66,57
,Repair and maintenance  [BS81100],91,70,87,78,71,72,78,82,71,69
,Personal services and private households  [BS81A00],22,19,17,18,18,19,21,19,16,15
,Professional and similar organisations  [BS81300],1,1,0s,0s,0s,0s,0s,0s,0s,0s
,Repair and maintenance  [FC11000],0,0,0,0,0,0,0,0,0,0
,Operating supplies  [FC12000],0,0,0,0,0,0,0,0,0,0
,Office supplies  [FC13000],0,0,0,0,0,0,0,0,0,0
,"Advertising, promotion, meals, entertainment, and travel  [FC20000]",0,0,0,0,0,0,0,0,0,0
,Transportation margins  [FC30000],0,0,0,0,0,0,0,0,0,0
,Non-profit education services  [NP61000],16,14,14,11,17,17,18,19,17,17
,Non-profit social assistance  [NP62400],11,12,6,6,6,8,7,8,9,9
,"Non-profit arts, entertainment and recreation  [NP71000]",13,14,12,8,8,9,9,10,7,7
,Religious organizations  [NP81310],16,19,17,12,15,10,11,12,10,10
,Miscellaneous non-profit institutions serving households  [NPA0000],20,17,15,17,21,22,21,21,20,20
,Educational services (except universities)  [GS611B0],31,34,39,39,40,38,41,39,33,32
,Universities  [GS61130],67,84,81,77,74,87,86,84,62,62
,Hospitals  [GS62200],22,39,41,38,39,41,41,39,39,35
,Nursing and residential care facilities  [GS62300],5,6,6,6,6,6,7,8,9,7
,Other federal government services  [GS91100],114,67,56,51,55,97,78,73,63,64
,Other provincial and territorial government services  [GS91200],159,84,106,98,95,104,100,116,133,135
,Other municipal government services  [GS91300],142,103,90,72,100,118,121,120,112,102
,Other aboriginal government services  [GS91400],17,15,15,13,12,37,53,79,104,97
,"Total, households","4,225","4,488","4,506","4,079","4,205","4,228","4,699","4,733","4,149","4,176"
,Households: Motor fuels and lubricants,"3,034","3,089","3,101","2,890","2,963","2,896","3,225","3,246","2,746","2,861"
,Households: Electricity and other fuels,"1,191","1,400","1,405","1,189","1,242","1,332","1,474","1,488","1,404","1,315"
Saskatchewan,"Total, industries and households","72,646","74,912","76,792","78,797","73,907","77,437","78,743","75,606","66,252","69,101"
,"Total, industries","66,633","68,396","70,661","72,702","67,816","71,088","72,229","68,986","60,513","63,318"
,Crop and animal production  [BS11A00],"13,777","14,881",..,..,..,..,..,..,..,..
,Crop and animal production (except cannabis)  [BS11B00],..,..,"15,039","15,614","14,842","16,006","16,330","16,075","16,018","15,864"
,Cannabis production (licensed)  [BS111CL],..,..,0s,0s,0s,0s,2,13,5,5
,Cannabis production (unlicensed)  [BS111CU],..,..,20,13,11,9,9,6,3,3
,Forestry and logging  [BS11300],119,78,102,102,95,113,107,88,86,97
,"Fishing, hunting and trapping  [BS11400]",4,5,5,7,7,8,8,8,7,8
,Support activities for agriculture and forestry  [BS11500],16,15,6,11,12,11,15,15,15,16
,Oil and gas extraction  [BS21100],"22,061","23,424","25,895","26,928","23,689","23,774","23,003","21,013","14,676","13,827"
,Coal mining  [BS21210],62,55,48,31,29,50,55,50,64,324
,Metal ore mining  [BS21220],131,139,168,164,140,126,57,27,25,40
,Non-metallic mineral mining and quarrying  [BS21230],"1,509","1,209","1,179","1,221","1,290","1,718","2,450","2,022","2,202","2,828"
,Support activities for mining and oil and gas extraction  [BS21300],427,305,329,421,304,474,543,593,493,410
,"Electric power generation, transmission and distribution  [BS22110]","15,931","14,863","15,018","16,040","15,999","16,519","16,051","15,883","14,774","17,382"
,"Natural gas distribution, water, sewage and other systems  [BS221A0]",221,254,268,293,325,344,380,355,304,292
,Residential building construction  [BS23A00],59,61,55,60,56,58,56,48,67,69
,Non-residential building construction  [BS23B00],21,26,28,39,41,36,40,33,32,33
,Transportation engineering construction  [BS23C10],51,56,56,96,134,153,143,90,91,94
,Oil and gas engineering construction  [BS23C20],183,186,203,197,228,301,298,282,201,203
,Electric power engineering construction  [BS23C30],25,25,34,63,58,61,56,46,52,52
,Communication engineering construction  [BS23C40],6,4,2,3,8,15,13,8,13,13
,Other engineering construction  [BS23C50],206,272,244,261,270,160,122,190,180,183
,Repair construction  [BS23D00],31,35,39,54,63,67,65,54,62,63
,Other activities of the construction industry  [BS23E00],6,6,6,8,6,7,7,7,7,7
,Animal food manufacturing  [BS31110],8,9,28,35,17,18,32,33,31,27
,Sugar and confectionery product manufacturing  [BS31130],0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
,Fruit and vegetable preserving and specialty food manufacturing  [BS31140],1,1,2,3,2,1,1,1,1,1
,Dairy product manufacturing  [BS31150],10,5,1,1,1,1,1,0s,0s,1
,Meat product manufacturing  [BS31160],48,36,29,37,46,61,51,60,43,52
,Seafood product preparation and packaging  [BS31170],0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
,Miscellaneous food manufacturing  [BS311A0],153,180,239,199,253,253,235,252,206,197
,Soft drink and ice manufacturing  [BS31211],1,1,1,2,3,3,5,3,3,3
,Breweries  [BS31212],3,1,1,2,2,2,6,7,5,5
,Wineries and distilleries  [BS3121A],0s,0s,0s,1,1,1,1,2,2,3
,Tobacco manufacturing  [BS31220],0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
,Textile and textile product mills  [BS31A00],2,2,3,2,1,3,2,3,2,2
,Clothing and leather and allied product manufacturing  [BS31B00],1,1,1,1,1,1,1,0s,0s,0s
,Wood product manufacturing  [BS32100] 12,196,951,492,396,392,619,335,311,367,312
,"Pulp, paper and paperboard mills  [BS32210] 12",651,126,122,57,68,74,75,70,67,76
,Converted paper product manufacturing  [BS32220],5,8,5,5,6,5,5,5,5,4
,Printing and related support activities  [BS32300],7,7,9,8,8,10,6,6,4,5
,Petroleum and coal product manufacturing  [BS32400],"1,264","1,251",882,848,928,940,"1,365","1,821","1,710","1,817"
,Basic chemical manufacturing  [BS32510],234,242,291,294,296,307,218,224,223,253
,"Pesticide, fertilizer and other agricultural chemical manufacturing  [BS32530]",213,261,272,321,278,259,732,697,666,648
,Pharmaceutical and medicine manufacturing  [BS32540],0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
,Miscellaneous chemical product manufacturing  [BS325C0] 13,10,21,10,22,21,24,44,37,34,31
,Plastic product manufacturing  [BS32610],6,7,7,8,5,6,7,6,4,4
,Rubber product manufacturing  [BS32620],2,3,5,5,4,4,5,8,5,6
,Non-metallic mineral product manufacturing (except cement and concrete products)  [BS327A0],11,13,11,21,12,13,12,14,8,12
,Cement and concrete product manufacturing  [BS32730],33,42,171,47,76,119,80,103,107,108
,Primary metal manufacturing  [BS33100],149,164,144,137,135,144,158,156,136,155
,Fabricated metal product manufacturing  [BS33200],45,69,59,83,55,67,75,83,65,76
,Machinery manufacturing  [BS33300],48,62,57,63,43,53,65,65,46,59
,Computer and peripheral equipment manufacturing  [BS33410],0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
,Electronic product manufacturing  [BS334B0],2,2,1,1,1,1,1,1,1,1
,Electrical  equipment and component manufacturing  [BS335A0],6,3,6,4,3,4,4,5,3,5
,Household appliance manufacturing  [BS33520],0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
,Motor vehicle manufacturing  [BS33610],7,8,7,6,4,4,4,4,5,7
,Motor vehicle body and trailer manufacturing  [BS33620],10,13,8,7,6,9,11,10,5,7
,Motor vehicle parts manufacturing  [BS33630],2,2,2,2,1,2,1,1,1,1
,Aerospace product and parts manufacturing  [BS33640],0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
,Railroad rolling stock manufacturing  [BS33650],0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
,Ship and boat building  [BS33660],0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
,Other transportation equipment manufacturing  [BS33690],1,1,1,1,1,1,0s,1,1,1
,Furniture and related product manufacturing  [BS33700],7,10,9,20,9,7,7,8,6,7
,Miscellaneous manufacturing  [BS33900],12,12,9,14,11,14,15,13,11,14
,Wholesale trade  [BS41000],710,857,787,476,442,513,548,482,457,462
,Retail trade  [BS4A000],380,467,..,..,..,..,..,..,..,..
,Retail trade (except cannabis)  [BS4AA00],..,..,451,452,428,499,545,490,464,460
,Cannabis stores (licensed)  [BS453BL],..,..,0,0,0,0,0s,3,5,5
,Cannabis stores (unlicensed)  [BS453BU],..,..,4,5,5,5,4,3,4,4
,Air transportation  [BS48100],170,167,173,185,186,179,178,179,80,81
,Rail transportation  [BS48200],709,706,731,721,687,745,832,822,730,687
,Water transportation  [BS48300],2,2,2,1,1,1,1,1,1,1
,Truck transportation  [BS48400],"1,186","1,125","1,169",973,793,808,894,812,647,702
,"Transit, ground passenger and scenic and sightseeing transportation, taxi and limousine service and support activities for transportation  [BS48B00]",82,83,79,82,79,82,85,88,68,68
,Pipeline transportation  [BS48600],"2,343","2,479","2,686","2,400","1,598","1,688","1,879","1,830","1,476","1,785"
,Postal service and couriers and messengers  [BS49A00],83,100,113,126,102,91,96,95,90,97
,Warehousing and storage  [BS49300],55,70,62,50,53,52,60,62,66,67
,Motion picture and sound recording industries  [BS51200],7,4,4,3,3,3,4,3,2,2
,Radio and television broadcasting  [BS51510],3,1,1,1,2,2,2,1,1,1
,"Publishing, pay/specialty services, telecommunications and other information services  [BS51B00]",41,48,48,90,166,220,264,287,321,324
,Depository credit intermediation and monetary authorities  [BS52B00],51,55,49,43,45,44,51,42,42,40
,Insurance carriers  [BS52410],14,11,10,11,10,8,8,8,3,3
,Lessors of real estate  [BS53110],555,567,552,511,564,608,656,459,498,462
,Owner-occupied dwellings  [BS5311A],0,0,0,0,0,0,0,0,0,0
,Rental and leasing services and lessors of non-financial intangible assets (except copyrighted works)  [BS53B00],39,47,45,53,52,60,61,63,60,60
,"Other finance, insurance and real estate services and management of companies and enterprises  [BS5A000]",204,195,196,180,176,164,175,144,117,114
,"Legal, accounting and architectural, engineering and related services  [BS541C0]",57,57,50,51,50,44,41,37,35,35
,"Computer systems design and other professional, scientific and technical services  [BS541D0]",27,35,36,27,26,25,28,20,19,18
,"Advertising, public relations and related services  [BS54180]",2,3,3,3,3,2,3,2,2,2
,Administrative and support services  [BS56100],53,49,51,73,83,84,87,79,75,74
,Waste management and remediation services  [BS56200],156,189,45,71,67,84,86,83,85,86
,Educational services  [BS61000],5,5,5,4,4,4,5,4,5,4
,Health care and social assistance  [BS62000],103,102,103,115,114,104,102,91,87,87
,"Arts, entertainment and recreation  [BS71000]",12,12,11,11,11,10,10,9,6,6
,Accommodation and food services  [BS72000],109,127,125,129,119,136,151,140,151,151
,Repair and maintenance  [BS81100],131,118,120,143,153,154,172,178,163,163
,Personal services and private households  [BS81A00],18,17,17,21,21,22,23,20,15,16
